timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:03,1255882944_11190,28.68000655000377,77.08484724997152,121,121,0,23,23,1.0,0.0,1,FRC4
2026-07-08T07:30:03,77004697_1008,28.596430250093643,77.29317694991747,1387,990,397,35,49,0.714,28.6,0.999333,FRC2
2026-07-08T07:30:03,1076252889_12598,28.525723250001377,77.27936825001848,938,579,359,21,34,0.618,38.2,0.994554,FRC3
2026-07-08T07:30:03,202665381_10859,28.67017055059156,77.16542090979112,3849,2309,1540,18,30,0.6,40.0,0.98887,FRC2
2026-07-08T07:30:03,1275944980_12126,28.57847582472563,77.00652027717024,296,296,0,53,53,1.0,0.0,1,FRC4
2026-07-08T07:30:03,586687208_7500,28.54169467065229,77.11776043977837,971,466,505,24,50,0.48,52.0,0.994029,FRC1
2026-07-08T07:30:03,1077642220_4106,28.65145840239566,77.20572394645998,662,368,294,15,27,0.556,44.4,1,FRC1
2026-07-08T07:30:03,1309546294_8889,28.55869757234572,77.05417263135095,513,513,0,36,36,1.0,0.0,1,FRC4
2026-07-08T07:30:03,278977065_11544,28.62578502845304,76.90595413017583,621,621,0,28,28,1.0,0.0,1,FRC4
2026-07-08T07:30:03,81061303_24,28.58000061669264,77.2955884866146,587,470,117,32,40,0.8,20.0,1,FRC4
2026-07-08T07:30:03,1118936174_8477,28.55290512434433,77.05025070272647,161,161,0,71,71,1.0,0.0,1,FRC0
2026-07-08T07:30:03,176492685_1684,28.58597795000236,77.29349485003652,584,453,131,31,40,0.775,22.5,1,FRC4
2026-07-08T07:30:03,169323875_6610,28.543416246480696,77.11620501593522,939,483,456,17,33,0.515,48.5,1,FRC4
2026-07-08T07:30:03,739709591_5390,28.630132852699195,77.32626414807251,372,372,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,190261068_6713,28.525874392305283,77.10131881094023,5,5,0,39,39,1.0,0.0,1,FRC2
2026-07-08T07:30:03,71435200_920,28.578732325148163,77.30161246491157,264,228,36,50,58,0.862,13.8,1,FRC1
2026-07-08T07:30:03,76849306_19,28.57761622944116,77.28960367138384,235,235,0,58,58,1.0,0.0,1,FRC1
2026-07-08T07:30:03,684512045_5356,28.626385703877823,77.31496154705613,609,462,147,38,50,0.76,24.0,1,FRC1
2026-07-08T07:30:03,586684180_7486,28.53954700000966,77.11660109992128,39,7,32,8,40,0.2,80.0,1,FRC3
2026-07-08T07:30:03,76842648_969,28.62292998866329,77.30453360509472,372,372,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1283496575_5541,28.62450125007257,77.30865389994165,335,335,0,69,69,1.0,0.0,1,FRC1
2026-07-08T07:30:03,76849167_974,28.578036894660528,77.27752768487743,235,235,0,58,58,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1272998251_4724,28.616551638212343,77.28671344651134,372,372,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,190261045_6706,28.51229539092968,77.09316617299704,1635,1343,292,46,56,0.821,17.9,1,FRC1
2026-07-08T07:30:03,1283521609_4861,28.621568750036488,77.30045594997114,372,372,0,64,64,1.0,0.0,1,FRC1
