label,lat,lon
175803910_1611,28.69423226523117,77.25475338221595
77363984_6412,28.55095164931341,77.18330061418612
581439213_7413,28.57027647629832,77.20825330650094
759114175_8113,28.51573539912596,77.22692866161098
615472620_2691,28.67924423613079,77.22948179850864
1285857338_8836,28.633485398665247,77.13155249574339
1252762961_4630,28.57252835004244,77.25834390015157
1145543149_8549,28.63763346493056,77.0810092554196
973071387_3595,28.616012819886286,77.24944693105083
195207624_6778,28.60582435011361,77.12531875011909
686515640_7881,28.55336865840238,77.16634796714247
582037592_2459,28.59244798294416,77.16823071784252
1064794348_3785,28.70591960242076,77.22747125005216
658041633_7732,28.56762789997501,77.22594166665111
759020452_8111,28.565199309852627,77.23612270306914
1103577070_4159,28.67844574682699,77.25652968870547
1274823144_4783,28.70064228715008,77.29469589022817
1283227674_11339,28.46359475001256,77.1165982499859
651654695_2742,28.579219431355774,77.17565339847359
879145487_9754,28.73331503985862,77.11657890143962
1312967347_10659,28.684799200051067,77.14865749991941
605840550_5959,28.69827584410145,77.31029715732555
687049832_2946,28.700262034289207,77.2965069912149
1077953383_11802,28.529647200060936,76.90595404978514
812690415_3525,28.572590518605917,77.20909409546375
561759724_7213,28.56564549409812,77.23358775463576
195207632_6783,28.60591505014033,77.12550910015419
1080501681_10084,28.75742528036801,77.0666489276367
707180849_12552,28.51189470000089,77.25863215000813
581439207_7409,28.56986927395828,77.20892919619594
656187262_7722,28.51835390513944,77.21288412051088
39452774_6282,28.59505922984085,77.07230464256187
77629925_1134,28.707199400198363,77.17359749945291
1252913581_4640,28.57582514509064,77.26351302403782
555197181_7145,28.54189025034216,77.22807505013904
1125156527_8501,28.60857066264121,77.10254595639755
567831209_2350,28.58046110002516,77.17488165011682
